asleep,awake
2016-06-01T22:44:52.800,2016-06-02T06:13:33.599
2016-06-02T21:35:55.536,2016-06-03T06:34:58.809
2016-06-03T22:26:39.254,2016-06-04T05:57:06.399
2016-06-04T22:22:01.675,2016-06-05T05:29:22.579
2016-06-05T22:23:55.413,2016-06-06T05:50:47.683
2016-06-06T22:18:36.709,2016-06-07T05:37:50.835
2016-06-07T22:14:38.012,2016-06-08T06:34:59.509
2016-06-08T22:20:49.667,2016-06-09T06:27:47.913
2016-06-09T21:50:58.819,2016-06-10T04:52:09.521
2016-06-10T23:15:01.259,2016-06-11T05:22:31.876
2016-06-11T22:38:44.584,2016-06-12T04:59:11.140
2016-06-12T22:01:46.070,2016-06-13T05:26:12.782
2016-06-13T21:56:34.347,2016-06-14T05:47:36.088
2016-06-14T22:13:28.657,2016-06-15T05:14:06.487
2016-06-15T21:37:34.834,2016-06-16T04:54:29.679
2016-06-16T21:14:39.660,2016-06-17T06:16:31.615
2016-06-17T21:51:49.198,2016-06-18T06:39:55.698
2016-06-18T21:30:21.333,2016-06-19T05:44:53.377
2016-06-19T22:27:32.078,2016-06-20T06:34:02.919
2016-06-20T22:01:41.322,2016-06-21T06:13:47.462
2016-06-21T21:25:49.689,2016-06-22T06:12:22.121
2016-06-22T22:04:56.911,2016-06-23T05:15:24.692
2016-06-23T22:40:26.839,2016-06-24T06:22:23.585
2016-06-24T21:23:57.723,2016-06-25T06:35:17.245
2016-06-25T22:29:31.296,2016-06-26T06:12:48.547
2016-06-26T21:59:49.572,2016-06-27T04:58:10.263
2016-06-27T21:58:42.456,2016-06-28T05:02:48.325
2016-06-28T21:53:26.846,2016-06-29T06:44:15.482
2016-06-29T22:24:21.080,2016-06-30T06:00:11.716
2016-06-30T21:43:47.387,2016-07-01T05:08:55.969
2016-07-01T22:16:44.012,2016-07-02T05:44:14.571
2016-07-02T21:36:22.685,2016-07-03T05:46:01.961
2016-07-03T22:33:17.912,2016-07-04T06:01:59.837
2016-07-04T21:42:58.093,2016-07-05T05:15:23.158
